Code,Description,Sub-Description,,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012
eo130202,Cheese and egg dishes or pizza,Pizza,,"Pizza - meat, fish or poultry",g,3,2,1,2,1,2,2,4,4,3,4,2
eo1303,Cheese and egg dishes or pizza,Eggs,,,g,6,5,7,4,6,6,5,5,6,8,4,4
eo130301,Cheese and egg dishes or pizza,Eggs,,Eggs - boiled or poached,g,0,0,0,0,0,0,0,0,0,0,0,0
eo130302,Cheese and egg dishes or pizza,Eggs,,"Eggs - scrambled, fried, omelettes or unspecified 'egg'",g,6,5,7,4,5,6,5,5,5,8,4,4
eo130303,Cheese and egg dishes or pizza,Eggs,,Other egg dishes e.g. egg mayonnaise,g,0,0,0,0,0,0,0,0,0,0,0,0
eo140,Fresh and processed potatoes, ,,,g,90,89,76,65,72,70,66,57,66,61,48,52
eo140101,Fresh and processed potatoes,Chips and french fries - from fast food outlet e.g. McDonalds,,,g,14,14,12,9,6,9,8,7,7,8,7,8
eo140102,Fresh and processed potatoes,Chips - served with meal e.g. from restaurant or chip shop,,,g,57,52,44,39,46,43,41,33,39,35,29,34
eo140103,Fresh and processed potatoes,Potatoes - boiled or unspecified 'potato',,,g,6,6,7,8,7,6,5,7,6,5,3,2
eo140104,Fresh and processed potatoes,Potatoes - mashed,,,g,1,2,1,1,1,2,1,1,2,2,2,1
eo140105,Fresh and processed potatoes,Potatoes - roast,,,g,2,3,2,1,2,1,2,2,2,2,2,3
eo140106,Fresh and processed potatoes,"Sautéed potatoes, potato croquettes, hash browns etc.",,,g,2,1,2,1,2,2,2,1,1,1,1,1
eo140107,Fresh and processed potatoes,Baked or jacket potatoes - without filling,,,g,6,7,6,5,6,6,6,4,7,4,4,4
eo140108,Fresh and processed potatoes,"Other potato dishes (e.g. wedges, potato salad) including unspecified 'potato dish'",,,g,4,2,3,1,2,1,1,2,2,5,1,1
eo150,Vegetables, ,,,g,21,23,18,18,23,21,20,19,23,19,13,16
eo1501,Vegetables,Green vegetables,,,g,1,2,2,2,2,1,1,1,1,1,1,1
eo150101,Vegetables,Green vegetables,,Lettuce and cress,g,0,0,0,0,0,0,0,0,0,0,0,0
eo150102,Vegetables,Green vegetables,,"Other green vegetables e.g. spinach, cabbage, sprouts",g,1,2,2,2,2,1,0,1,1,1,0,1
eo1502,Vegetables,Other fresh vegetables,,,g,9,9,7,7,8,8,7,7,10,8,6,7
eo150201,Vegetables,Other fresh vegetables,,Peppers - raw or cooked,g,0,0,0,0,0,0,0,0,0,0,0,0
eo150202,Vegetables,Other fresh vegetables,,"Courgettes, marrow, aubergine, pumpkin, plantain, cucumbers",g,0,0,0,0,0,0,0,0,0,0,0,0
eo150203,Vegetables,Other fresh vegetables,,Peas and sweetcorn,g,3,4,3,2,3,3,3,3,3,2,2,2
eo150204,Vegetables,Other fresh vegetables,,Baked beans and other beans (not green beans) and pulses,g,4,5,4,3,4,4,4,4,5,4,3,4
eo150205,Vegetables,Other fresh vegetables,,Tomato - fresh or raw,g,1,0,0,1,0,1,0,0,1,1,1,0
eo150206,Vegetables,Other fresh vegetables,,Tomato - cooked or processed,g,1,1,1,0,1,1,1,0,1,1,0,1
eo1503,Vegetables,Root vegetables,,,g,2,2,2,1,2,1,1,1,2,1,1,1
eo150301,Vegetables,Root vegetables,,Carrots,g,1,1,1,1,1,1,0,1,1,1,0,1
eo150302,Vegetables,Root vegetables,,"Onions - raw, cooked or unspecified 'onions'",g,0,0,0,0,0,0,0,0,0,0,0,0
eo150303,Vegetables,Root vegetables,,Onions - fried,g,0,0,0,0,0,0,0,0,0,0,0,0
eo150304,Vegetables,Root vegetables,,"Other root vegetables or tubers e.g. turnip, parsnip, radish, beetroot",g,0,1,0,0,1,0,0,0,0,0,0,0
eo1504,Vegetables,Mushrooms,,,g,1,1,1,0,1,0,0,1,1,1,0,1
eo1505,Vegetables,Other vegetables and vegetable products,,,g,4,4,3,5,5,7,4,5,4,5,3,4
eo150501,Vegetables,Other vegetables and vegetable products,,Mixed vegetables or unspecified 'vegetable',g,2,3,2,4,4,6,3,4,3,4,3,2
eo150502,Vegetables,Other vegetables and vegetable products,,"Other vegetables e.g. artichoke, asparagus",g,0,0,0,0,0,0,0,0,0,0,0,0
eo150503,Vegetables,Other vegetables and vegetable products,,Vegetables in batter or breadcrumbs and deep fried vegetables e.g. onion rings,g,1,0,1,0,1,1,0,0,0,1,0,1
eo150504,Vegetables,Other vegetables and vegetable products,,Onion and other vegetable bhajis and pakora,g,1,0,0,0,1,0,0,0,0,1,0,1
eo1506,Vegetables,Vegetarian dishes,,,g,4,4,2,3,5,4,7,4,5,3,2,3
eo150601,Vegetables,Vegetarian dishes,,"Veggie burger, bean burger, veggie sausage, nut roast",g,0,0,0,0,0,0,0,0,0,0,0,1
eo150602,Vegetables,Vegetarian dishes,,"Vegetable lasagne, vegetable cannelloni, vegetable moussaka and other oven baked vegetable based dishes",g,3,2,1,1,3,2,5,2,4,2,1,1
eo150603,Vegetables,Vegetarian dishes,,Stuffed vegetables (e.g. stuffed pepper) and vegetable based starter,g,1,0,0,0,1,0,1,0,0,0,0,0
eo150604,Vegetables,Vegetarian dishes,,Vegetable based stews and casseroles and vegetable based pies,g,1,1,1,1,1,1,0,1,1,1,0,0
eo160,Salads, ,,,g,15,16,15,15,15,14,12,16,16,16,14,21
eo1601,Salads,Green salads without dressing,,,g,9,7,9,8,8,8,7,9,9,8,9,7
eo160101,Salads,Green salads without dressing,,"Mixed salad, main course  - without dressing",g,1,0,2,0,0,0,0,1,1,0,1,0
eo160102,Salads,Green salads without dressing,,"Mixed salad, side dish - without dressing - including unspecified 'salad'",g,6,6,7,8,7,8,7,8,8,7,8,7
eo160103,Salads,Green salads without dressing,,Green salad - without dressing,g,2,1,1,0,0,0,0,0,0,0,0,0
eo1602,Salads,Green salads with dressing,,,g,0,1,1,0,1,0,0,1,1,1,1,0
eo160201,Salads,Green salads with dressing,,Vegetable or fruit and nut salad - with dressing,g,0,0,0,0,0,0,0,0,0,0,0,0
eo160202,Salads,Green salads with dressing,,"Pasta, rice, mixed bean or cereal-based salads - with dressing",g,0,0,1,0,1,0,0,1,1,1,1,0
eo1603,Salads,Meat or fish salads,,,g,5,7,4,4,5,4,3,5,4,5,3,3
eo160301,Salads,Meat or fish salads,,"Meat salad e.g. beef, lamb salads",g,2,2,1,2,1,1,0,1,1,2,1,0
eo160302,Salads,Meat or fish salads,,Chicken or turkey salad,g,2,3,1,1,2,2,2,2,2,2,1,2
eo160303,Salads,Meat or fish salads,,"Fish salad e.g. tuna, salmon salads",g,2,2,2,1,2,2,1,2,1,1,1,1
eo1604,Salads,Cheese or egg salads,,,g,1,1,1,1,1,1,1,1,1,2,1,1
eo160401,Salads,Cheese or egg salads,,Cheese salad including ploughmans,g,1,1,1,1,1,1,0,1,1,2,1,1
eo160402,Salads,Cheese or egg salads,,Egg salad,g,0,0,0,0,0,0,0,0,0,0,0,0
eo160501,Salads,"Other salads e.g. Greek, Florida, Russian",,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo160601,Salads,Salad buffet or buffet meal where items not specified,,,g,0,1,0,1,1,0,1,0,0,0,0,10
eo170,"Rice, pasta or noodles", ,,,g,20,20,14,17,19,18,16,13,21,17,20,17
eo170101,"Rice, pasta or noodles",Fried rice and risotto,,,g,3,4,2,3,3,3,1,2,3,2,2,2
eo170102,"Rice, pasta or noodles","All cooked rice exluding fried rice e.g. boiled, pilau, savoury",,,g,6,7,4,6,6,5,4,4,6,5,4,5
eo170103,"Rice, pasta or noodles",Pasta - not filled and plain noodles (including pot noodle) - without sauce,,,g,9,9,8,8,9,9,10,6,11,8,12,8
eo170104,"Rice, pasta or noodles","Pasta - filled e.g. ravioli, tortellini - without sauce",,,g,1,0,1,1,1,1,1,0,1,1,1,1
eo170105,"Rice, pasta or noodles","Noodles with meat, vegetables etc.",,,g,0,0,0,0,0,0,0,1,0,1,1,1
eo180,Soups, ,,,g,24,34,27,28,31,29,28,28,26,21,34,28
eo180101,Soups,Meat & fish soups,,,g,3,4,2,2,1,1,2,2,2,1,2,2
eo180102,Soups,Vegetable based soups,,,g,10,15,10,10,13,11,9,8,14,8,12,10
eo180103,Soups,"Chinese soups, consommé (meat, fish or veg)",,,g,0,0,0,0,0,0,1,0,0,0,0,1
eo180104,Soups,Other soups including unspecified 'soup',,,g,10,15,15,16,16,16,17,17,11,12,21,16
eo190,Breakfast cereals, ,,,g,0,0,0,0,0,1,1,0,0,0,1,0
eo190101,Breakfast cereals,Muesli and oat crunch cereals,,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo190102,Breakfast cereals,"Other high fibre breakfast cereals e.g. Allbran, Weetabix",,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo190103,Breakfast cereals,"Sweetened breakfast cereals e.g. Frosties, Sugar Puffs",,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo190104,Breakfast cereals,"Hot breakfast cereals e.g. porridge, Ready Brek",,,g,0,0,0,0,0,1,1,0,0,0,1,0
eo190105,Breakfast cereals,"Other breakfast cereals and unspecified 'cereal' e.g. Cornflakes, Rice Krispies, Special K",,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo200,Fresh and processed fruit, ,,,g,10,13,10,17,13,13,15,11,13,8,15,8
eo2001,Fresh and processed fruit,Fresh fruit,,,g,10,12,10,17,12,13,15,11,12,8,15,8
eo200101,Fresh and processed fruit,Fresh fruit,,"All citrus fruit, fresh e.g. orange, grapefruit",g,1,2,1,2,1,0,1,1,1,0,1,0
eo200102,Fresh and processed fruit,Fresh fruit,,"Banana, fresh",g,2,2,1,3,2,2,2,2,1,1,1,0
eo200103,Fresh and processed fruit,Fresh fruit,,"Apples, fresh",g,2,2,2,4,2,2,1,2,1,1,2,0
eo200104,Fresh and processed fruit,Fresh fruit,,"Pears, fresh",g,1,0,0,0,0,0,0,0,0,0,0,0
eo200105,Fresh and processed fruit,Fresh fruit,,"Stone fruit, fresh e.g. apricot, plum, peach, cherry, avocado",g,0,1,0,1,0,0,0,0,1,0,1,0
eo200106,Fresh and processed fruit,Fresh fruit,,"Grapes, fresh",g,0,0,0,0,1,1,0,0,0,0,1,0
eo200107,Fresh and processed fruit,Fresh fruit,,"Soft fruit or berries, fresh e.g. strawberries, blackberries - without cream or ice cream",g,0,0,0,0,0,0,0,0,1,0,0,0
eo200108,Fresh and processed fruit,Fresh fruit,,"Melon, fresh",g,0,1,0,1,0,0,1,0,0,0,1,0
eo200109,Fresh and processed fruit,Fresh fruit,,"Pineapple, fresh",g,0,0,0,0,0,0,0,1,0,0,1,0
eo200110,Fresh and processed fruit,Fresh fruit,,Fresh fruit salad - without cream or ice cream,g,0,1,0,2,2,2,1,1,1,2,2,1
eo200111,Fresh and processed fruit,Fresh fruit,,"Other fresh fruit (kiwi, passion) and unspecified 'fruit'",g,0,0,0,0,0,0,0,0,0,0,1,0
eo200112,Fresh and processed fruit,Fresh fruit,,Free school fruit,g,2,3,3,5,4,5,7,2,5,2,4,5
eo200201,Fresh and processed fruit,"Dried fruit e.g. sultanas, raisins",,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo200301,Fresh and processed fruit,"Tinned, stewed, baked or processed fruit - without cream or ice cream",,,g,1,0,0,0,0,0,0,0,1,0,0,0
eo210,Yoghurt and fromage frais, ,,,g,3,4,2,4,4,3,2,4,2,2,4,1
eo220,Bread, ,,,g,13,13,10,11,11,11,11,10,9,10,9,6
eo220101,Bread,"White bread, with or without butter or margarine (toasted or untoasted)",,,g,2,2,2,2,2,2,2,1,2,1,1,0
eo220102,Bread,"Brown or wholemeal bread, with or without butter or margarine (toasted or untoasted)",,,g,0,0,0,0,1,1,1,1,0,1,0,0
eo220103,Bread,"White rolls, baguettes etc. without butter or margerine (or butter or margerine not specified)",,,g,7,7,6,5,5,5,4,3,3,4,2,1
eo220104,Bread,"Brown or wholemeal rolls, baguettes etc. without butter or margerine (or butter or margerine not specified)",,,g,1,1,1,1,1,1,1,1,1,1,2,0
eo220105,Bread,Garlic bread,,,g,1,0,0,0,1,1,1,1,1,1,1,0
eo220106,Bread,Croissant,,,g,0,0,0,0,1,0,0,1,0,0,0,0
eo220107,Bread,"Continental breads e.g. pitta, ciabatta, focaccio",,,g,1,1,0,0,0,1,1,2,1,1,1,1
eo220108,Bread,"Muffins, crumpets",,,g,1,1,0,1,0,0,1,0,1,0,0,0
eo220109,Bread,"Fried bread, including croutons",,,g,0,0,0,0,0,0,0,0,0,1,0,0
eo220110,Bread,"Other bread, rolls, toast, unspecified 'bread' etc.",,,g,0,0,0,0,0,0,0,0,0,1,2,3
eo230,Sandwiches, ,,,g,94,98,93,87,90,97,90,92,79,76,78,83
eo2301,Sandwiches,Meat or fish based sandwiches,,,g,58,64,58,54,57,59,49,54,44,45,43,46
eo230101,Sandwiches,Meat or fish based sandwiches,,Meat based sandwich on white bread or roll,g,27,27,24,20,21,24,22,19,15,17,9,3
eo230102,Sandwiches,Meat or fish based sandwiches,,Meat based sandwich on brown bread or roll,g,4,3,3,4,3,4,4,4,4,2,4,1
eo230103,Sandwiches,Meat or fish based sandwiches,,Meat based sandwich bread not specified,g,0,0,1,1,0,0,0,0,0,2,8,18
eo230104,Sandwiches,Meat or fish based sandwiches,,Chicken or turkey based sandwich on white bread or roll,g,14,18,13,13,16,15,10,18,10,10,8,5
eo230105,Sandwiches,Meat or fish based sandwiches,,Chicken or turkey based sandwich on brown bread or roll,g,2,3,2,4,2,3,4,3,3,3,2,2
eo230106,Sandwiches,Meat or fish based sandwiches,,Chicken or turkey based sandwich bread not specified,g,0,0,0,0,0,0,0,0,0,1,2,9
eo230107,Sandwiches,Meat or fish based sandwiches,,Bacon and egg based sandwich on white bread or roll inc Bacon and Egg McMuffin,g,1,1,2,2,2,3,2,2,2,1,1,0
eo230108,Sandwiches,Meat or fish based sandwiches,,Bacon and egg based sandwich on brown bread or roll,g,0,0,0,0,0,0,1,0,0,0,0,0
eo230109,Sandwiches,Meat or fish based sandwiches,,Bacon and egg based sandwich bread not specified,g,0,0,0,0,0,0,0,0,0,0,1,1
