Code,Description,Sub-Description,,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012
eo160401,Salads,Cheese or egg salads,,Cheese salad including ploughmans,g,0,1,0,0,1,0,1,2,1,1,1,1
eo160402,Salads,Cheese or egg salads,,Egg salad,g,0,0,0,0,0,0,0,0,0,0,0,0
eo160501,Salads,"Other salads e.g. Greek, Florida, Russian",,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo160601,Salads,Salad buffet or buffet meal where items not specified,,,g,0,0,0,1,0,0,0,0,1,2,1,0
eo170,"Rice, pasta or noodles", ,,,g,12,10,14,11,12,13,9,13,9,13,11,11
eo170101,"Rice, pasta or noodles",Fried rice and risotto,,,g,3,2,1,1,1,1,1,2,2,1,2,1
eo170102,"Rice, pasta or noodles","All cooked rice exluding fried rice e.g. boiled, pilau, savoury",,,g,6,5,8,5,9,8,3,5,3,6,4,5
eo170103,"Rice, pasta or noodles",Pasta - not filled and plain noodles (including pot noodle) - without sauce,,,g,3,3,5,5,2,3,4,5,3,5,5,5
eo170104,"Rice, pasta or noodles","Pasta - filled e.g. ravioli, tortellini - without sauce",,,g,1,0,1,1,0,1,1,0,1,1,0,0
eo170105,"Rice, pasta or noodles","Noodles with meat, vegetables etc.",,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo180,Soups, ,,,g,5,8,5,6,6,9,6,7,5,7,4,2
eo180101,Soups,Meat & fish soups,,,g,0,1,0,1,0,0,0,1,0,1,0,0
eo180102,Soups,Vegetable based soups,,,g,2,4,2,2,3,6,2,2,3,3,2,1
eo180103,Soups,"Chinese soups, consommé (meat, fish or veg)",,,g,0,0,0,0,0,0,0,1,0,0,0,0
eo180104,Soups,Other soups including unspecified 'soup',,,g,3,2,3,4,3,3,3,4,1,2,2,1
eo190,Breakfast cereals, ,,,g,0,0,0,0,1,0,0,0,0,0,0,0
eo190101,Breakfast cereals,Muesli and oat crunch cereals,,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo190102,Breakfast cereals,"Other high fibre breakfast cereals e.g. Allbran, Weetabix",,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo190103,Breakfast cereals,"Sweetened breakfast cereals e.g. Frosties, Sugar Puffs",,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo190104,Breakfast cereals,"Hot breakfast cereals e.g. porridge, Ready Brek",,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo190105,Breakfast cereals,"Other breakfast cereals and unspecified 'cereal' e.g. Cornflakes, Rice Krispies, Special K",,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo200,Fresh and processed fruit, ,,,g,6,8,6,7,5,10,12,8,9,6,5,11
eo2001,Fresh and processed fruit,Fresh fruit,,,g,5,8,5,7,5,10,12,8,9,6,5,11
eo200101,Fresh and processed fruit,Fresh fruit,,"All citrus fruit, fresh e.g. orange, grapefruit",g,0,1,0,0,0,2,1,0,1,0,0,1
eo200102,Fresh and processed fruit,Fresh fruit,,"Banana, fresh",g,2,1,1,2,1,2,3,1,1,2,1,2
eo200103,Fresh and processed fruit,Fresh fruit,,"Apples, fresh",g,1,2,1,1,1,3,3,2,1,1,1,1
eo200104,Fresh and processed fruit,Fresh fruit,,"Pears, fresh",g,0,0,0,0,0,0,0,0,0,0,0,0
eo200105,Fresh and processed fruit,Fresh fruit,,"Stone fruit, fresh e.g. apricot, plum, peach, cherry, avocado",g,0,1,0,0,0,0,0,0,1,0,0,1
eo200106,Fresh and processed fruit,Fresh fruit,,"Grapes, fresh",g,0,0,0,0,0,0,1,0,0,0,0,1
eo200107,Fresh and processed fruit,Fresh fruit,,"Soft fruit or berries, fresh e.g. strawberries, blackberries - without cream or ice cream",g,0,0,0,0,0,0,0,0,0,0,0,0
eo200108,Fresh and processed fruit,Fresh fruit,,"Melon, fresh",g,0,0,0,0,1,0,1,0,1,0,0,0
eo200109,Fresh and processed fruit,Fresh fruit,,"Pineapple, fresh",g,1,0,1,0,1,1,0,0,0,0,0,0
eo200110,Fresh and processed fruit,Fresh fruit,,Fresh fruit salad - without cream or ice cream,g,1,1,1,0,1,2,2,3,1,1,1,2
eo200111,Fresh and processed fruit,Fresh fruit,,"Other fresh fruit (kiwi, passion) and unspecified 'fruit'",g,0,1,0,0,0,0,0,0,1,0,0,0
eo200112,Fresh and processed fruit,Fresh fruit,,Free school fruit,g,0,0,1,1,0,1,1,1,1,0,2,4
eo200201,Fresh and processed fruit,"Dried fruit e.g. sultanas, raisins",,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo200301,Fresh and processed fruit,"Tinned, stewed, baked or processed fruit - without cream or ice cream",,,g,0,0,0,0,0,0,0,0,0,0,0,0
