Code,Description,Sub-Description,,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012
eo230207,Sandwiches,Other savoury or sweet sandwiches,,Vegetarian based sandwich on white bread or roll,g,2,3,3,3,2,2,2,2,1,1,1,0
eo230208,Sandwiches,Other savoury or sweet sandwiches,,Vegetarian based sandwich on brown bread or roll,g,0,1,0,1,0,1,0,0,0,0,0,0
eo230209,Sandwiches,Other savoury or sweet sandwiches,,Vegetarian based sandwich bread not specified,g,0,0,0,0,0,0,0,0,0,0,1,1
eo230210,Sandwiches,Other savoury or sweet sandwiches,,Sweet-filled sandwich,g,0,0,0,0,0,0,0,0,0,0,0,0
eo230211,Sandwiches,Other savoury or sweet sandwiches,,Unspecified sandwiches or rolls,g,3,6,8,10,10,12,14,13,13,12,13,13
eo240,Other food products, ,,,g,150,140,136,130,130,137,132,116,127,144,118,103
eo2401,Other food products,Sauces,,,g,6,7,7,8,7,7,7,6,6,6,6,5
eo240101,Other food products,Sauces,,"Cheese or cream based sauce (e.g. carbonara, cauliflower cheese)",g,0,0,0,0,0,0,0,0,0,0,1,0
eo240102,Other food products,Sauces,,"Meat-based sauce (e.g. bolognese, chilli con carne)",g,2,2,3,4,3,4,3,3,3,3,3,2
eo240103,Other food products,Sauces,,Fish or seafood based sauce,g,1,1,1,1,0,0,0,0,0,0,0,0
eo240104,Other food products,Sauces,,Tomato based sauce containing vegetables including ratatouille,g,0,0,1,1,1,1,1,1,1,1,1,0
eo240105,Other food products,Sauces,,Other savoury sauce or unspecified 'sauce',g,2,2,2,2,1,1,1,1,1,1,1,1
eo240106,Other food products,Sauces,,"Sweet sauce (e.g. syrup, treacle, chocolate sauce)",g,0,0,0,0,0,0,0,0,0,0,0,0
eo240107,Other food products,Sauces,,Fruit or vegetable based condiments,g,0,0,0,0,0,0,0,0,0,0,0,0
eo240108,Other food products,Sauces,,Other condiments or sauces,g,0,0,0,0,0,0,0,0,0,0,0,0
eo2402,Other food products,Dressings,,,g,2,2,2,1,1,1,1,1,1,1,1,1
eo240201,Other food products,Dressings,,Salad dressings and dips,g,0,0,0,0,0,0,0,0,0,0,0,0
eo240202,Other food products,Dressings,,Mayonnaise,g,1,1,1,1,1,1,1,1,1,1,0,0
eo240203,Other food products,Dressings,,Coleslaw,g,1,0,0,0,0,0,0,0,0,0,0,0
eo2403,Other food products,Fillings,,,g,2,2,2,2,2,2,2,2,2,2,2,1
